month,country,month_total,running_total
2013-11,China,1,1
2013-11,Germany,3,3
2013-11,OTHER,5,5
2013-11,United Kingdom,2,2
2013-11,United States,17,17
2013-11,UNKNOWN,11,11
2013-12,Canada,3,3
2013-12,China,0,1
2013-12,Germany,1,4
2013-12,OTHER,3,8
2013-12,United Kingdom,2,4
2013-12,United States,18,35
2013-12,UNKNOWN,11,22
2014-01,Canada,1,4
2014-01,China,1,2
2014-01,France,1,1
2014-01,Germany,1,5
2014-01,OTHER,13,21
2014-01,United Kingdom,4,8
2014-01,United States,10,45
2014-01,UNKNOWN,13,35
2014-02,Canada,2,6
2014-02,China,1,3
2014-02,France,3,4
2014-02,Germany,0,5
2014-02,OTHER,9,30
2014-02,United Kingdom,5,13
2014-02,United States,20,65
2014-02,UNKNOWN,11,46
2014-03,Australia,3,3
2014-03,Canada,2,8
2014-03,China,0,3
2014-03,France,0,4
2014-03,Germany,0,5
2014-03,OTHER,4,34
2014-03,United Kingdom,7,20
2014-03,United States,18,83
2014-03,UNKNOWN,10,56
2014-04,Australia,1,4
2014-04,Canada,0,8
2014-04,China,4,7
2014-04,France,2,6
2014-04,Germany,5,10
2014-04,OTHER,5,39
2014-04,United Kingdom,5,25
2014-04,United States,28,111
2014-04,UNKNOWN,5,61
2014-05,Australia,4,8
2014-05,Canada,2,10
2014-05,China,0,7
2014-05,France,0,6
2014-05,Germany,2,12
2014-05,OTHER,6,45
2014-05,United Kingdom,8,33
2014-05,United States,32,143
2014-05,UNKNOWN,8,69
2014-06,Australia,0,8
2014-06,Canada,3,13
2014-06,China,1,8
2014-06,France,1,7
2014-06,Germany,1,13
2014-06,OTHER,8,53
2014-06,United Kingdom,9,42
2014-06,United States,38,181
2014-06,UNKNOWN,13,82
2014-07,Australia,1,9
2014-07,Canada,4,17
2014-07,China,0,8
2014-07,France,0,7
2014-07,Germany,3,16
2014-07,OTHER,11,64
2014-07,United Kingdom,8,50
2014-07,United States,21,202
2014-07,UNKNOWN,10,92
2014-08,Australia,2,11
2014-08,Canada,1,18
2014-08,China,0,8
2014-08,France,0,7
2014-08,Germany,2,18
2014-08,OTHER,18,82
2014-08,United Kingdom,8,58
2014-08,United States,38,240
2014-08,UNKNOWN,12,104
2014-09,Australia,2,13
2014-09,Canada,2,20
2014-09,China,1,9
2014-09,France,1,8
2014-09,Germany,4,22
2014-09,OTHER,14,96
2014-09,United Kingdom,6,64
2014-09,United States,38,278
2014-09,UNKNOWN,14,118
2014-10,Australia,1,14
2014-10,Canada,1,21
2014-10,China,1,10
2014-10,France,3,11
2014-10,Germany,7,29
2014-10,OTHER,18,114
2014-10,United Kingdom,11,75
2014-10,United States,30,308
2014-10,UNKNOWN,10,128
2014-11,Australia,1,15
2014-11,Canada,4,25
2014-11,China,2,12
2014-11,France,3,14
2014-11,Germany,5,34
2014-11,OTHER,20,134
2014-11,United Kingdom,3,78
2014-11,United States,28,336
2014-11,UNKNOWN,8,136
2014-12,Australia,2,17
2014-12,Canada,0,25
2014-12,China,2,14
2014-12,France,2,16
2014-12,Germany,4,38
2014-12,OTHER,12,146
2014-12,United Kingdom,10,88
2014-12,United States,42,378
2014-12,UNKNOWN,14,150
2015-01,Australia,3,20
2015-01,Canada,2,27
2015-01,China,1,15
2015-01,France,1,17
2015-01,Germany,5,43
2015-01,OTHER,20,166
2015-01,United Kingdom,6,94
2015-01,United States,41,419
2015-01,UNKNOWN,17,167
2015-02,Australia,3,23
2015-02,Canada,4,31
2015-02,China,0,15
2015-02,France,2,19
2015-02,Germany,2,45
2015-02,OTHER,19,185
2015-02,United Kingdom,13,107
2015-02,United States,27,446
2015-02,UNKNOWN,15,182
2015-03,Australia,2,25
2015-03,Canada,6,37
2015-03,China,3,18
2015-03,France,3,22
2015-03,Germany,10,55
2015-03,OTHER,20,205
2015-03,United Kingdom,11,118
2015-03,United States,43,489
2015-03,UNKNOWN,13,195
2015-04,Australia,2,27
2015-04,Canada,1,38
2015-04,China,4,22
2015-04,France,3,25
2015-04,Germany,7,62
2015-04,OTHER,22,227
2015-04,United Kingdom,13,131
2015-04,United States,49,538
2015-04,UNKNOWN,18,213
2015-05,Australia,2,29
2015-05,Canada,3,41
2015-05,China,0,22
2015-05,France,4,29
2015-05,Germany,3,65
2015-05,OTHER,17,244
2015-05,United Kingdom,6,137
2015-05,United States,45,583
2015-05,UNKNOWN,22,235
2015-06,Australia,1,30
2015-06,Canada,2,43
2015-06,China,1,23
2015-06,France,2,31
2015-06,Germany,3,68
2015-06,OTHER,19,263
2015-06,United Kingdom,17,154
2015-06,United States,50,633
2015-06,UNKNOWN,18,253
2015-07,Australia,3,33
2015-07,Canada,4,47
2015-07,China,3,26
2015-07,France,6,37
2015-07,Germany,6,74
2015-07,OTHER,21,284
2015-07,United Kingdom,11,165
2015-07,United States,58,691
2015-07,UNKNOWN,27,280
2015-08,Australia,4,37
2015-08,Canada,4,51
2015-08,China,7,33
2015-08,France,0,37
2015-08,Germany,8,82
2015-08,OTHER,21,305
2015-08,United Kingdom,7,172
2015-08,United States,58,749
2015-08,UNKNOWN,29,309
2015-09,Australia,1,38
2015-09,Canada,7,58
2015-09,China,2,35
2015-09,France,3,40
2015-09,Germany,8,90
2015-09,OTHER,23,328
2015-09,United Kingdom,12,184
2015-09,United States,43,792
2015-09,UNKNOWN,41,350
2015-10,Australia,1,39
2015-10,Canada,4,62
2015-10,China,2,37
2015-10,France,8,48
2015-10,Germany,7,97
2015-10,OTHER,35,363
2015-10,United Kingdom,14,198
2015-10,United States,71,863
2015-10,UNKNOWN,42,392
2015-11,Australia,3,42
2015-11,Canada,11,73
2015-11,China,2,39
2015-11,France,6,54
2015-11,Germany,9,106
2015-11,OTHER,31,394
2015-11,United Kingdom,21,219
2015-11,United States,71,934
2015-11,UNKNOWN,44,436
2015-12,Australia,1,43
2015-12,Canada,5,78
2015-12,China,3,42
2015-12,France,5,59
